"날짜","종가","오픈","고가","저가","변동 %"
"2020년 04월 07일","1,219.46","1,224.10","1,224.91","1,218.62","-0.42%"
"2020년 04월 06일","1,224.64","1,236.42","1,239.51","1,223.58","-0.97%"
"2020년 04월 05일","1,236.61","1,236.80","1,236.80","1,236.42","0.00%"
"2020년 04월 03일","1,236.61","1,227.85","1,240.65","1,224.18","0.71%"
"2020년 04월 02일","1,227.85","1,236.70","1,243.29","1,225.56","-0.72%"
"2020년 04월 01일","1,236.70","1,218.80","1,239.27","1,216.80","1.47%"
"2020년 03월 31일","1,218.80","1,224.71","1,225.21","1,214.28","-0.48%"
"2020년 03월 30일","1,224.71","1,212.73","1,227.21","1,212.18","0.99%"
"2020년 03월 27일","1,212.73","1,213.40","1,227.29","1,205.31","-0.06%"
"2020년 03월 26일","1,213.40","1,233.00","1,235.43","1,212.48","-1.59%"
"2020년 03월 25일","1,233.00","1,234.21","1,239.08","1,226.07","-0.10%"
"2020년 03월 24일","1,234.21","1,273.00","1,273.04","1,232.90","-3.05%"
"2020년 03월 23일","1,273.00","1,254.85","1,283.05","1,254.40","1.44%"
"2020년 03월 20일","1,254.95","1,258.36","1,264.60","1,237.22","-0.27%"
"2020년 03월 19일","1,258.36","1,256.50","1,292.93","1,247.45","0.15%"
"2020년 03월 18일","1,256.50","1,239.76","1,269.15","1,231.60","1.35%"
"2020년 03월 17일","1,239.76","1,232.41","1,246.80","1,231.93","0.56%"
"2020년 03월 16일","1,232.87","1,212.10","1,233.58","1,209.23","1.74%"
"2020년 03월 13일","1,211.78","1,211.21","1,226.75","1,205.25","0.05%"
"2020년 03월 12일","1,211.21","1,193.07","1,213.95","1,191.43","1.55%"
"2020년 03월 11일","1,192.71","1,185.74","1,197.73","1,184.07","0.59%"
"2020년 03월 10일","1,185.75","1,201.03","1,201.55","1,184.55","-1.26%"
"2020년 03월 09일","1,200.94","1,188.66","1,206.26","1,188.56","1.02%"
"2020년 03월 06일","1,188.80","1,188.82","1,194.35","1,184.86","-0.00%"
"2020년 03월 05일","1,188.82","1,184.96","1,192.53","1,179.80","0.30%"
"2020년 03월 04일","1,185.23","1,181.00","1,189.11","1,181.00","0.36%"
"2020년 03월 03일","1,181.00","1,190.11","1,196.15","1,178.76","-0.73%"
"2020년 03월 02일","1,189.71","1,200.21","1,207.15","1,188.11","-0.88%"
